Opened,Name,City,Market,County
2/10/2023,Sedro-Woolley,Sedro-Woolley,Washington\Bellingham,Whatcom
12/12/2022,Pickup - 1st & Denny,Seattle,Washington\Seattle,King
9/29/2022,Marvin & Willamette,Lacey,Washington\Olympia,Thurston
9/16/2022,Appleway & Barker,Spokane Valley,Washington\Spokane,Spokane
9/5/2022,140th Ave NE - Woodinville,Woodinville,Washington\Seattle,King
6/15/2022,Pickup - 4th & Bellevue Way,Bellevue,Washington\Seattle,King
6/2/2022,Ephrata,Ephrata,Washington\CentralWashington,Lancaster
3/21/2022,Microsoft Commons,Redmond,Washington\Seattle,King
12/1/2021,Harrison and Belmont,Centralia,Washington\Olympia,Lewis
10/26/2021,Pickup - Downtown Redmond,Redmond,Washington\Seattle,King
10/4/2021,Hamilton & Indiana,Spokane,Washington\Spokane,Spokane
9/18/2021,Kraken Community Iceplex,Seattle,Washington\Seattle,King
8/14/2021,I-5 & Mill Plain Blvd,Vancouver,Washington\SouthwesternWashington,Clark
6/24/2021,Petrovitsky & 176th - Fairwood,Renton,Washington\Seattle,King
6/19/2021,Olympic Hwy. - Shelton,Shelton,Washington\WashingtonRemoteMarkets,Mason
3/25/2021,Cleveland Ave. SE & North St. SE,Tumwater,Washington\Olympia,Thurston
3/23/2021,Totem Lake at NE 124th St,Kirkland,Washington\Seattle,King
3/11/2021,Pioneer & Royle - Ridgefield,Ridgefield,Washington\WashingtonRemoteMarkets,Clark
1/28/2021,Lakeland Hills Way - Lake Tapps,Auburn,Washington\Tacoma,King
12/3/2020,SR 9 & 204th St,Arlington,Washington\Seattle,Snohomish
10/19/2020,Secure Access SCH River-Floor 3,Seattle,Washington\Seattle,King
10/15/2020,Columbia & Canal,Kennewick,Washington\SoutheasternWashington,Benton
9/28/2020,SR 20 & SE Pioneer Wy - Oak Harbor,Oak Harbor,Washington\Bellingham,Whatcom
9/28/2020,5th Ave & Pike St,Seattle,Washington\Seattle,King
9/3/2020,Central Ave & Hwy 167,Kent,Washington\Tacoma,King
9/3/2020,150th Ave and SE 38th St.,Bellevue,Washington\Seattle,King
8/28/2020,NE 117th Ave & NE 99th St,Vancouver,Washington\SouthwesternWashington,Clark
8/6/2020,Station Drive - DuPont,DuPont,Washington\Olympia,Pierce
7/2/2020,Downtown Yakima,Yakima,Washington\CentralWashington,Yakima
6/26/2020,Bridle Trails,Kirkland,Washington\Seattle,King
5/6/2020,167/24th - Sumner,Sumner,Washington\Tacoma,Pierce
3/27/2020,22904 Bothell Everett Hwy,Bothell,Washington\Seattle,King
3/20/2020,3210 - Lake Wilderness,Maple Valley,Washington\Tacoma,King
12/13/2019,Twin Lakes - 21st Ave,Federal Way,Washington\Tacoma,King
12/12/2019,Pioneer & Shaw - Puyallup,Puyallup,Washington\Tacoma,Pierce
9/27/2019,Mile Hill/Olney - Port Orchard,Port Orchard,Washington\KitsapCounty,Kitsap
9/9/2019,East Fourth Plain & Grand,Vancouver,Washington\SouthwesternWashington,Clark
8/8/2019,SE Bishop Blvd - Pullman,Pullman,Washington\SoutheasternWashington,Whitman
7/11/2019,S Normandy Rd & 1st Ave S,Normandy Park,Washington\Tacoma,King
7/11/2019,9th & Washington-Longview,Longview,Washington\SouthwesternWashington,Cowlitz
6/20/2019,6th & Warren-Bremerton,Bremerton,Washington\KitsapCounty,Clark
6/14/2019,3rd & Walnut -Spokane,Spokane,Washington\Spokane,Spokane
6/14/2019,Fourth Plain & 143rd,Vancouver,Washington\SouthwesternWashington,Clark
6/7/2019,6th & Pearl,Tacoma,Washington\Tacoma,Pierce
5/23/2019,Elma,Elma,Washington\WashingtonRemoteMarkets,Grays Harbor
5/20/2019,S 320th St & G Ave S - Federal Way,Federal Way,Washington\Tacoma,King
4/25/2019,2303 N. Pearl St.,Tacoma,Washington\Tacoma,Pierce
4/4/2019,SW Campus Dr. - Federal Way,Federal Way,Washington\Tacoma,King
3/21/2019,Puyallup Fairgrounds,Puyallup,Washington\Tacoma,Pierce
12/29/2018,Aurora Ave N & N 155th St,Shoreline,Washington\Seattle,King
12/14/2018,88th & 36th - Marysville,Marysville,Washington\Seattle,Snohomish
11/3/2018,Cordata Center,Bellingham,Washington\Bellingham,Whatcom
9/27/2018,Yelm & Henderson,Tumwater,Washington\Olympia,Thurston
9/17/2018,S. Michigan & 6th Ave S.,Seattle,Washington\Seattle,King
9/8/2018,43rd and Meridian - Puyallup,Puyallup,Washington\Tacoma,Pierce
8/31/2018,Murphys Corner,Mill Creek,Washington\Seattle,Snohomish
8/3/2018,Hwy 2 & Nevada,Spokane,Washington\Spokane,Spokane
